,make,model,year,engine_capacity,power,fuel_type,transmission,drive_mode,price,mileage
140,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
141,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
142,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
143,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
144,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
145,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
146,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
147,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
148,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
149,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
150,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
151,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
152,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
153,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
154,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
155,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
156,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
157,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
158,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
159,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
160,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
161,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
162,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
163,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
164,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
165,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
166,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
167,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
168,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
169,Changan,UNI-K,2021,2.0,232,бензин,АКПП,"4WD,",3550000,17
170,Toyota,Land,2012,4.5,232,дизель,АКПП,"4WD,",3750000,142
171,Lexus,RX270,2015,2.7,188,бензин,АКПП,"передний,",2820000,126
172,SsangYong,Kyron,2009,2.0,141,дизель,механика,"4WD,",600000,143
173,Peugeot,607,2001,2.2,158,бензин,АКПП,"передний,",450000,167
174,Hyundai,Palisade,2022,2.2,202,дизель,АКПП,"4WD,",5900000,8
175,Hyundai,Grand,2020,2.5,175,дизель,автомат,"4WD,",3990000,53
176,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,18
177,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,23
178,Kia,Carnival,2020,2.2,199,дизель,АКПП,"передний,",4550000,15
179,Kia,Carnival,2021,2.2,199,дизель,АКПП,"передний,",4650000,15
180,Toyota,C-HR,2022,1.8,98,гибрид,вариатор,"передний,",2520000,4
181,Daewoo,Nexia,2010,1.5,80,бензин,механика,"передний,",190000,293
182,Volkswagen,Tiguan,2011,1.4,150,бензин,механика,"4WD,",1150000,121
183,Mercedes-Benz,G-Class,2020,2.9,249,дизель,АКПП,"4WD,",15495000,47
184,Toyota,Land,2017,4.5,249,дизель,АКПП,"4WD,",5099000,125
185,Mercedes-Benz,S-Class,2007,5.5,388,бензин,АКПП,"4WD,",949000,140
186,Hyundai,Palisade,2020,2.2,200,дизель,АКПП,"4WD,",4199000,39
187,Volkswagen,Tiguan,2018,2.0,150,дизель,робот,"4WD,",2249000,65
188,Toyota,Prius,2014,1.8,99,гибрид,вариатор,"передний,",1130000,200
