,make,model,year,engine_capacity,power,fuel_type,transmission,drive_mode,price,mileage
14051,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14052,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14053,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14054,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14055,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14056,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14057,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14058,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14059,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14060,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14061,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14062,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14063,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14064,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14065,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14066,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14067,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14068,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14069,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14070,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14071,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14072,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14073,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14074,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14075,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14076,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14077,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14078,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14079,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14080,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14081,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14082,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14083,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14084,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14085,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14086,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14087,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14088,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14089,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14090,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14091,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14092,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14093,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14094,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14095,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14096,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14097,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14098,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14099,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14100,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14101,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14102,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14103,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14104,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14105,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14106,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14107,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14108,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14109,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14110,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14111,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14112,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14113,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14114,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14115,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14116,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14117,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14118,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14119,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14120,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14121,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14122,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14123,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14124,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14125,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14126,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14127,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14128,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14129,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14130,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14131,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14132,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14133,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14134,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14135,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14136,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14137,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14138,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14139,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14140,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14141,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14142,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14143,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14144,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14145,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14146,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14147,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14148,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14149,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14150,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14151,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14152,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14153,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14154,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14155,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14156,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14157,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14158,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14159,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14160,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14161,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14162,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14163,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14164,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14165,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14166,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14167,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14168,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14169,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14170,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14171,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14172,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14173,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14174,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14175,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14176,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14177,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14178,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14179,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14180,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14181,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14182,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14183,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14184,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14185,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14186,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14187,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14188,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14189,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14190,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14191,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14192,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14193,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14194,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14195,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14196,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14197,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14198,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14199,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14200,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14201,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14202,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14203,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14204,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14205,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14206,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14207,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14208,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14209,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14210,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14211,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14212,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14213,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14214,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14215,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14216,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14217,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14218,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14219,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14220,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14221,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14222,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14223,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14224,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14225,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14226,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14227,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14228,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14229,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14230,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14231,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14232,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14233,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14234,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14235,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14236,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14237,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14238,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14239,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14240,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14241,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14242,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14243,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14244,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14245,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14246,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14247,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14248,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14249,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14250,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14251,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14252,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14253,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14254,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14255,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14256,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14257,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14258,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14259,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14260,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14261,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14262,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14263,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14264,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14265,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14266,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14267,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14268,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14269,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14270,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14271,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14272,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14273,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14274,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14275,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14276,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14277,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14278,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14279,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14280,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14281,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14282,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14283,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14284,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14285,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14286,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14287,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14288,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14289,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14290,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14291,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14292,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14293,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14294,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14295,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14296,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14297,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14298,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14299,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14300,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14301,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14302,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14303,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14304,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14305,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14306,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14307,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14308,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14309,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14310,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14311,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14312,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14313,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14314,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14315,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14316,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14317,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14318,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14319,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14320,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14321,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14322,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14323,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14324,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14325,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14326,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14327,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14328,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14329,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14330,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14331,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14332,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14333,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14334,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14335,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14336,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14337,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14338,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14339,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14340,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14341,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14342,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14343,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14344,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14345,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14346,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14347,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14348,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14349,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14350,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14351,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14352,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14353,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14354,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14355,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14356,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14357,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14358,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14359,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14360,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14361,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14362,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14363,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14364,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14365,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14366,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14367,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14368,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14369,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14370,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14371,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
14372,Toyota,Camry,2003,2.0,150,бензин,автомат,"передний,",599000,255
14373,Honda,Vezel,2019,1.5,132,гибрид,робот,"передний,",1670000,80
14374,Toyota,RAV4,2016,2.0,146,бензин,вариатор,"4WD,",2063000,119
14375,BMW,X6,2008,3.0,306,бензин,АКПП,"4WD,",1588000,187
14376,Mazda,CX-5,2021,2.5,194,бензин,АКПП,"4WD,",4000000,26
14377,Lexus,RX350,2007,3.5,276,бензин,АКПП,"4WD,",1288000,236
14378,Haval,F7,2020,2.0,190,бензин,робот,"4WD,",2390000,16
14379,Infiniti,FX37,2012,3.7,333,бензин,АКПП,"4WD,",2058000,159
14380,Lexus,RX350,2010,3.5,277,бензин,АКПП,"4WD,",1968000,196
14381,Kia,Ceed,2015,1.6,130,бензин,АКПП,"передний,",1098000,163
14382,Kia,Ceed,2011,1.6,122,бензин,механика,"передний,",580000,220
14383,Toyota,Land,2013,2.7,163,бензин,АКПП,"4WD,",2790000,150
14384,Nissan,Sentra,2016,1.6,117,бензин,вариатор,"передний,",1098000,138
14385,Toyota,Auris,2013,1.6,132,бензин,вариатор,"передний,",1148000,182
14386,Infiniti,Q50,2014,2.0,211,бензин,АКПП,"задний,",1618000,161
14387,Nissan,X-Trail,2017,2.5,171,бензин,вариатор,"4WD,",1848000,123
14388,Nissan,Note,2018,1.2,79,бензин,вариатор,"передний,",978000,95
14389,Mazda,Mazda6,2014,2.5,192,бензин,АКПП,"передний,",1638000,148
14390,Chery,Tiggo,2010,2.0,136,бензин,механика,"передний,",359000,230
